,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,is_male
0,46.3,15.8,215.0,5050.0,1.0
1,50.9,17.9,196.0,3675.0,0.0
2,45.0,15.4,220.0,5050.0,1.0
3,48.4,16.3,220.0,5400.0,1.0
4,47.0,17.3,185.0,3700.0,0.0
5,47.7,15.0,216.0,4750.0,0.0
6,48.5,17.5,191.0,3400.0,1.0
7,36.0,17.1,187.0,3700.0,0.0
8,50.1,15.0,225.0,5000.0,1.0
9,39.5,17.4,186.0,3800.0,0.0
10,43.4,14.4,218.0,4600.0,0.0
11,38.6,21.2,191.0,3800.0,1.0
12,43.3,13.4,209.0,4400.0,0.0
13,42.5,17.3,187.0,3350.0,0.0
14,42.7,13.7,208.0,3950.0,0.0
15,49.6,15.0,216.0,4750.0,1.0
16,48.8,16.2,222.0,6000.0,1.0
17,46.4,18.6,190.0,3450.0,0.0
18,48.7,15.1,222.0,5350.0,1.0
19,45.7,17.0,195.0,3650.0,0.0
20,38.9,17.8,181.0,3625.0,0.0
21,37.6,19.3,181.0,3300.0,0.0
22,48.5,15.0,219.0,4850.0,0.0
23,50.4,15.3,224.0,5550.0,1.0
24,39.8,19.1,184.0,4650.0,1.0
25,46.2,14.5,209.0,4800.0,0.0
26,41.1,18.1,205.0,4300.0,1.0
27,49.9,16.1,213.0,5400.0,1.0
28,36.8,18.5,193.0,3500.0,0.0
29,48.7,14.1,210.0,4450.0,0.0
30,40.1,18.9,188.0,4300.0,1.0
31,45.4,14.6,211.0,4800.0,0.0
32,43.6,13.9,217.0,4900.0,0.0
33,52.0,18.1,201.0,4050.0,1.0
34,52.7,19.8,197.0,3725.0,1.0
35,39.7,17.7,193.0,3200.0,0.0
36,46.1,13.2,211.0,4500.0,0.0
37,38.1,18.6,190.0,3700.0,0.0
38,50.2,18.7,198.0,3775.0,0.0
39,40.2,17.1,193.0,3400.0,0.0
40,38.8,17.6,191.0,3275.0,0.0
41,46.5,17.9,192.0,3500.0,0.0
42,42.1,19.1,195.0,4000.0,1.0
43,46.2,14.1,217.0,4375.0,0.0
